g1 23 55 
pins g1 0 4 0 6 0 33 0 32 0 17 0 37 0 35 0 15 0 38 0 42 0 31 0 19 0 45 0 16 0 47 0 48 0 27 0 50 0 26 0 9 0 53 0 49 0 43 23 5 23 1 23 2 23 3 23 11 23 12 23 13 23 8 23 15 23 16 23 10 23 18 23 7 23 20 23 21 23 22 23 23 23 24 23 25 23 26 23 27 23 28 23 9 23 30 23 31 23 19 23 33 23 34 23 35 23 36 23 37 23 38 23 39 23 4 23 41 23 42 23 29 23 6 23 45 23 46 23 47 23 48 23 49 23 43 23 14 23 52 23 53 23 54 23 17 
g2 4 69 
pins g2 0 3 0 27 0 18 0 17 0 11 0 6 0 36 0 33 0 23 0 2 0 28 0 1 0 39 0 20 0 21 0 10 0 45 0 42 0 48 0 49 0 12 0 16 0 24 0 53 0 34 0 55 0 35 0 51 0 40 0 59 0 58 0 61 0 62 0 14 0 64 0 54 0 66 0 67 0 68 0 44 4 5 4 1 4 12 4 14 4 15 4 16 4 8 4 7 4 10 4 20 4 2 4 22 4 23 4 24 4 6 4 9 4 18 4 27 4 29 4 30 4 21 4 32 4 11 4 34 4 35 4 36 4 37 4 38 4 28 4 40 4 31 4 26 4 43 4 44 4 45 4 46 4 47 4 48 4 13 4 50 4 51 4 52 4 53 4 54 4 55 4 33 4 57 4 58 4 59 4 60 4 61 4 62 4 39 4 64 4 65 4 3 4 67 4 68 4 49 
g3 96 41 
pins g3 0 10 0 4 96 9 96 3 96 24 96 14 96 8 96 15 96 28 96 2 96 30 96 31 96 16 96 33 96 34 96 35 96 27 96 32 96 29 96 39 96 40 96 41 
g4 83 13 
pins g4 0 1 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 83 2 83 3 83 4 83 5 83 6 83 7 83 8 83 9 83 10 83 11 83 12 83 13 
g5 95 83 
pins g5 0 22 0 8 0 14 0 2 0 36 0 7 0 35 0 23 0 42 0 29 0 27 0 6 0 11 0 13 0 5 0 25 0 50 0 51 0 44 0 53 0 54 0 55 0 56 0 57 0 32 0 1 0 60 0 46 0 62 0 63 0 64 0 45 0 43 0 24 0 68 0 69 0 70 0 71 0 72 0 66 0 74 0 75 0 76 0 31 0 78 0 79 0 80 0 81 0 77 0 83 95 49 95 42 95 43 95 37 95 14 95 40 95 9 95 24 95 31 95 26 95 64 95 67 95 68 95 69 95 45 95 71 95 72 95 38 95 25 95 60 95 76 95 12 95 53 95 48 95 1 95 56 95 82 95 17 
g6 28 78 
