
================================================= Netlist Information ==================================================

Total Gates : 100 || Total Pins : 4788 || Total Wires : 1232

=================================================== Gate Information ===================================================

Gate : 1 || Pos_X : 41 || Pos_Y 6 || Width : 17 || Height : 88
Pin : 1 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 17
Pin : 2 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 21
Pin : 3 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 22
Pin : 4 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 23
Pin : 5 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 24
Pin : 6 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 15
Pin : 7 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 10
Pin : 8 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 20
Pin : 9 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 8
Pin : 10 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 25
Pin : 11 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 30
Pin : 12 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 18
Pin : 13 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 14
Pin : 14 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 33
Pin : 15 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 26
Pin : 16 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 28
Pin : 17 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 36
Pin : 18 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 11
Pin : 19 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 38
Pin : 20 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 19
Pin : 21 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 40
Pin : 22 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 41
Pin : 23 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 42
Pin : 24 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 12
Pin : 25 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 44
Pin : 26 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 45
Pin : 27 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 31
Pin : 28 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 47
Pin : 29 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 27
Pin : 30 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 49
Pin : 31 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 50
Pin : 32 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 51
Pin : 33 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 29
Pin : 34 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 53
Pin : 35 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 54
Pin : 36 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 55
Pin : 37 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 56
Pin : 38 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 57
Pin : 39 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 58
Pin : 40 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 59
Pin : 41 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 60
Pin : 42 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 39
Pin : 43 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 62
Pin : 44 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 63
Pin : 45 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 64
Pin : 46 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 65
Pin : 47 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 66
Pin : 48 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 67
Pin : 49 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 68
Pin : 50 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 69
Pin : 51 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 70
Pin : 52 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 46
Pin : 53 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 35
Pin : 54 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 73
Pin : 55 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 74
Pin : 56 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 75
Pin : 57 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 76
Pin : 58 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 77
Pin : 59 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 48
Pin : 60 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 72
Pin : 61 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 80
Pin : 62 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 81
Pin : 63 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 82
Pin : 64 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 83
Pin : 65 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 84
Pin : 66 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 85
Pin : 67 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 86
Pin : 68 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 34
Pin : 69 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 88
Pin : 70 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 89
Pin : 71 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 87
Pin : 72 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 91
Pin : 73 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 92
Pin : 74 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 93
Pin : 75 || Parent_Gate : 1 || Pin_X : 41 || Pin_Y : 94
Pin : 76 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 21
Pin : 77 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 11
Pin : 78 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 49
Pin : 79 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 10
Pin : 80 || Parent_Gate : 1 || Pin_X : 58 || Pin_Y : 83
