g1 42 76 5
pins g1 0 63 0 24 0 26 42 11 42 42 42 18 
g2 76 58 2
pins g2 0 18 0 16 0 57 76 25 76 27 76 42 
g3 62 28 5
pins g3 0 24 0 15 0 13 62 24 62 3 62 6 
g4 71 43 2
pins g4 0 9 0 33 0 21 71 20 71 42 71 18 
g5 79 16 3
pins g5 0 11 0 12 0 1 79 4 79 9 79 3 
g6 87 44 5
pins g6 0 9 0 22 0 5 87 11 87 23 87 30 
g7 41 40 5
pins g7 0 16 0 28 0 39 41 21 41 7 41 32 
g8 30 13 4
pins g8 0 2 0 7 0 4 30 3 30 10 30 11 
g9 20 17 2
pins g9 0 6 0 16 0 8 20 8 20 11 20 2 
g10 87 5 2
pins g10 0 1 0 4 0 5 87 2 87 1 
wire_delay 1
wire g3.p4 g7.p2
wire g4.p6 g7.p3
wire g1.p4 g8.p3
wire g3.p4 g1.p1
wire g5.p5 g8.p2
wire g9.p6 g2.p2
wire g9.p4 g10.p2
wire g2.p5 g10.p1
wire g5.p6 g2.p3
wire g5.p6 g9.p3
wire g4.p4 g7.p1
wire g10.p4 g8.p1
wire g9.p4 g10.p3
wire g9.p5 g2.p1
wire g3.p4 g9.p1
wire g3.p6 g1.p3
wire g4.p6 g3.p1
wire g5.p5 g1.p2
wire g6.p4 g3.p3
wire g4.p5 g3.p2
wire g3.p6 g9.p2
wire g7.p4 g5.p2
wire g6.p4 g4.p2
wire g6.p6 g5.p3
wire g6.p4 g4.p3
wire g4.p4 g5.p1
wire g6.p5 g4.p1
